Sled,Joint,N_Fit
0,0,0
0,0,0
1,0,0.372113299
1,0,0.372113299
2,0,0.746704434
2,1,0.746704434
4,1,1.513172923
6,2,2.31885785
6,3,2.31885785
8,4,3.182593168
8,5,3.182593168
10,5,4.122297395
10,6,4.122297395
12,7,5.154691042
12,8,5.154691042
14,8,6.295032942
14,8,6.295032942
16,9,7.556879617
16,10,7.556879617
17,11,8.237084967
17,11,8.237084967
19,12,9.702364758
20,13,10.48954937
20,13,10.48954937
22,14,12.17720389
22,14,12.17720389
23,15,13.07890641
23,16,13.07890641
25,17,15.00000001
25,18,15.00000001
26,19,16.01970247
26,19,16.01970247
28,20,18.17703028
28,20,18.17703028
29,22,19.31403476
29,22,19.31403476
31,23,21.70202369
31,24,21.70202369
32,24,22.95147701
32,25,22.95147701
34,26,25.55638317
34,27,25.55638317
35,27,26.90944885
35,27,26.90944885
36,28,28.29444236
38,29,31.15401564
38,30,31.15401564
39,30,32.62520327
39,31,32.62520327
40,32,34.12154783
40,33,34.12154783
41,33,35.64109058
41,34,35.64109058
42,35,37.18178125
43,36,38.74148611
43,36,38.74148611
44,37,40.31799639
44,38,40.31799639
45,38,41.909037
45,39,41.909037
46,40,43.5122755
46,41,43.5122755
47,41,45.12533134
47,42,45.12533134
48,43,46.74578521
48,44,46.74578521
48,44,46.74578521
48,44,46.74578521
49,46,48.37118859
49,47,48.37118859
50,47,49.99907346
50,48,49.99907346
50,49,49.99907346
50,50,49.99907346
51,50,51.62696199
51,51,51.62696199
52,52,53.25237633
52,52,53.25237633
52,53,53.25237633
53,54,54.8728484
53,55,54.8728484
54,55,56.48592964
54,56,56.48592964
55,57,58.08920062
55,58,58.08920062
55,58,58.08920062
55,59,58.08920062
56,60,59.68028066
56,61,59.68028066
57,61,61.25683717
57,61,61.25683717
58,62,62.81659487
58,63,62.81659487
59,64,64.3573448
59,65,64.3573448
60,65,65.87695299
60,66,65.87695299
61,66,67.37336889
62,67,68.8446335
62,68,68.8446335
63,69,70.28888706
63,69,70.28888706
64,70,71.70437641
64,71,71.70437641
65,72,73.0894619
65,72,73.0894619
67,73,75.76246861
67,74,75.76246861
68,75,77.04773393
69,75,78.29729409
69,76,78.29729409
70,77,79.51016424
70,77,79.51016424
72,78,81.82262241
72,79,81.82262241
73,80,82.92097738
73,80,82.92097738
75,81,84.9999999
75,81,84.9999999
77,83,86.92132575
77,83,86.92132575
78,84,87.82314324
78,84,87.82314324
80,85,89.51102316
80,86,89.51102316
81,86,90.2983173
81,87,90.2983173
83,88,91.76380766
83,88,91.76380766
85,89,93.09109567
87,90,94.29078979
87,91,94.29078979
89,91,95.37551057
89,92,95.37551057
91,93,96.35969166
91,94,96.35969166
93,94,97.25935219
93,95,97.25935219
95,96,98.09184415
95,97,98.09184415
97,97,98.87557876
